"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende"
1,"Zürich","Zurich","Zurigo",54.4,45.6,100,162,145,"145/162"
2,"Bern","Berne","Berna",0,0,50,334,0,"0/334"
3,"Luzern","Lucerne","Lucerna",47.2,52.8,0,80,78,"78/80"
4,"Uri","Uri","Uri",0,0,50,19,0,"0/19"
5,"Schwyz","Schwyz","Svitto",38.2,61.8,0,30,21,"21/30"
6,"Obwalden","Obwald","Obvaldo",40.5,59.5,0,7,4,"4/7"
7,"Nidwalden","Nidwald","Nidvaldo",42.1,57.9,42.1,11,11,
8,"Glarus","Glaris","Glarona",50.8,49.2,50.8,3,3,
9,"Zug","Zoug","Zugo",0,0,50,11,0,"0/11"
10,"Freiburg","Fribourg","Friburgo",62.6,37.4,100,126,123,"123/126"
11,"Solothurn","Soleure","Soletta",48.7,51.3,0,107,101,"101/107"
12,"Basel-Stadt","Bâle-Ville","Basilea Città",0,0,50,3,0,"0/3"
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",52.7,47.3,100,86,72,"72/86"
14,"Schaffhausen","Schaffhouse","Sciaffusa",0,0,50,26,0,"0/26"
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",48.7,51.3,0,20,7,"7/20"
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",0,0,50,6,0,"0/6"
17,"St. Gallen","Saint-Gall","San Gallo",44.5,55.5,0,77,56,"56/77"
18,"Graubünden","Grisons","Grigioni",51.1,48.9,100,101,100,"100/101"
19,"Aargau","Argovie","Argovia",50.1,49.9,50.1,200,200,
20,"Thurgau","Thurgovie","Turgovia",0,0,50,80,0,"0/80"
21,"Tessin","Tessin","Ticino",57.6,42.4,100,108,91,"91/108"
22,"Waadt","Vaud","Vaud",67.2,32.8,100,300,294,"294/300"
23,"Wallis","Valais","Vallese",53.7,46.3,100,122,98,"98/122"
24,"Neuenburg","Neuchâtel","Neuchâtel",0,0,50,27,0,"0/27"
25,"Genf","Genève","Ginevra",0,0,50,45,0,"0/45"
26,"Jura","Jura","Giura",0,0,50,53,0,"0/53"
