"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
3001,50,0,0,"Herisau AR","Herisau (AR)","Herisau AR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3002,50,0,0,"Hundwil AR","Hundwil (AR)","Hundwil AR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3003,50,0,0,"Schönengrund AR","Schönengrund (AR)","Schönengrund AR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3004,50,0,0,"Schwellbrunn AR","Schwellbrunn (AR)","Schwellbrunn AR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3005,36.3,36.3,63.7,"Stein AR","Stein (AR)","Stein AR","63,7 Prozent der Stimmbürgerinnen und Stimmbürger von Stein AR haben sich gegen das Bundesgesetz über die Stempelabgaben ausgesprochen.","Stein (AR) s'oppose à une suppression du droit de timbre. La commune a dit non à 63,7 pour cent au projet soutenu par le Conseil fédéral et le Parlement.","I cittadini di Stein AR si sono espressi contro la legge federale sulle tasse di bollo. Il testo è stato respinto con il 63,7 percento dei voti."
3006,50,0,0,"Urnäsch AR","Urnäsch (AR)","Urnäsch AR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3007,37.2,37.2,62.8,"Waldstatt AR","Waldstatt (AR)","Waldstatt AR","In Waldstatt ist das Bundesgesetz über die Stempelabgaben mit 62,8 Prozent gescheitert.","Non à l'abolition du droit de timbre à Waldstatt: la commune a rejeté avec 62,8 pour cent des voix le projet soumis aux urnes ce dimanche.","Da Waldstatt è arrivato un ""no"" alle urne per la legge federale sulle tasse di bollo. I cittadini hanno bocciato il testo con il 62,8 percento dei voti."
3021,50,0,0,"Bühler AR","Bühler (AR)","Bühler AR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3022,39.3,39.3,60.7,"Gais AR","Gais (AR)","Gais AR","Mit 640 Nein zu 415 Ja haben die Stimmbürgerinnen und Stimmbürger von Gais das Bundesgesetz über die Stempelabgaben abgelehnt. Das sind 60,7 Prozent.","A Gais, c'est non à 60,7 pour cent à l'abandon du droit de timbre.","Con il 60,7 percento di ""no"", i cittadini del comune di Gais hanno respinto la legge federale sulle tasse di bollo."
3023,50,0,0,"Speicher AR","Speicher (AR)","Speicher AR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3024,50,0,0,"Teufen AR","Teufen (AR)","Teufen AR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3025,50,0,0,"Trogen AR","Trogen (AR)","Trogen AR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3031,50,0,0,"Grub AR","Grub (AR)","Grub AR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3032,50,0,0,"Heiden AR","Heiden (AR)","Heiden AR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3033,50,0,0,"Lutzenberg AR","Lutzenberg (AR)","Lutzenberg AR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3034,33.2,33.2,66.8,"Rehetobel AR","Rehetobel (AR)","Rehetobel AR","Mit 439 Nein zu 218 Ja haben die Stimmbürgerinnen und Stimmbürger von Rehetobel das Bundesgesetz über die Stempelabgaben abgelehnt. Das sind 66,8 Prozent.","A Rehetobel, c'est non à 66,8 pour cent à l'abandon du droit de timbre.","Con il 66,8 percento di ""no"", i cittadini del comune di Rehetobel hanno respinto la legge federale sulle tasse di bollo."
3035,50,0,0,"Reute AR","Reute (AR)","Reute AR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3036,50,0,0,"Wald AR","Wald (AR)","Wald AR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3037,50,0,0,"Walzenhausen AR","Walzenhausen (AR)","Walzenhausen AR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3038,33.5,33.5,66.5,"Wolfhalden AR","Wolfhalden (AR)","Wolfhalden AR","In Wolfhalden hat das Bundesgesetz über die Stempelabgaben keine Mehrheit gefunden: 66,5 Prozent haben die Vorlage abgelehnt.","La commune de Wolfhalden a rejeté par 66,5 pour cent des voix le projet de suppression du droit de timbre.","A Wolfhalden i cittadini hanno respinto, con il 66,5 percento dei voti, la legge federale sulle tasse di bollo."
3101,50,0,0,"Appenzell AI","Appenzell (AI)","Appenzello AI","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3102,50,0,0,"Gonten AI","Gonten (AI)","Gonten AI","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3103,50,0,0,"Rüte AI","Rüte (AI)","Rüte AI","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
