"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
1,39,39,61,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","In Aeugst am Albis hat das Massnahmenpaket zugunsten der Medien keine Mehrheit gefunden. Auf 61 Prozent der abgegebenen Stimmzettel stand ein Nein.","Les habitants d'Aeugst am Albis rejettent le paquet d'aide aux médias avec 61 pour cent de non.","Nel comune di Aeugst am Albis la legge sulle misure a favore dei media è stata bocciata con il 61 percento dei voti."
2,40.8,40.8,59.2,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","Keine Mehrheit für das Massnahmenpaket zugunsten der Medien in Affoltern am Albis: Mit 1'915 Nein-Stimmen zu 1'321 Ja-Stimmen oder 59,2 Prozent hat die Gemeinde die Vorlage verworfen.","A Affoltern am Albis, c'est non à 59,2 pour cent à l'aide aux médias.","Da Affoltern am Albis è arrivato un ""no"" alle urne per la legge sulle misure a favore dei media. I cittadini hanno bocciato il testo con il 59,2 percento dei voti."
3,42.8,42.8,57.2,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","Keine Mehrheit für das Massnahmenpaket zugunsten der Medien in Bonstetten: Mit 1'105 Nein-Stimmen zu 826 Ja-Stimmen oder 57,2 Prozent hat die Gemeinde die Vorlage verworfen.","A Bonstetten, c'est non à 57,2 pour cent à l'aide aux médias.","Da Bonstetten è arrivato un ""no"" alle urne per la legge sulle misure a favore dei media. I cittadini hanno bocciato il testo con il 57,2 percento dei voti."
4,50,0,0,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5,44.1,44.1,55.9,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","55,9 Prozent der Stimmbürgerinnen und Stimmbürger von Hedingen sagen Nein zum Massnahmenpaket zugunsten der Medien.","Les habitants de Hedingen ne veulent pas d'aide publique aux médias. Ils rejettent le projet avec 55,9 pour cent de non.","No alla legge sulle misure a favore dei media nel comune di Hedingen: i cittadini hanno bocciato il testo con il 55,9 percento dei voti."
6,35.5,35.5,64.5,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","Keine Mehrheit für das Massnahmenpaket zugunsten der Medien in Kappel am Albis: Mit 247 Nein-Stimmen zu 136 Ja-Stimmen oder 64,5 Prozent hat die Gemeinde die Vorlage verworfen.","A Kappel am Albis, c'est non à 64,5 pour cent à l'aide aux médias.","Da Kappel am Albis è arrivato un ""no"" alle urne per la legge sulle misure a favore dei media. I cittadini hanno bocciato il testo con il 64,5 percento dei voti."
7,38.6,38.6,61.4,"Knonau ZH","Knonau (ZH)","Knonau ZH","61,4 Prozent der Stimmbürgerinnen und Stimmbürger von Knonau sagen Nein zum Massnahmenpaket zugunsten der Medien.","Les habitants de Knonau ne veulent pas d'aide publique aux médias. Ils rejettent le projet avec 61,4 pour cent de non.","No alla legge sulle misure a favore dei media nel comune di Knonau: i cittadini hanno bocciato il testo con il 61,4 percento dei voti."
8,42.7,42.7,57.3,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","In Maschwanden hat die Stimmbevölkerung das Massnahmenpaket zugunsten der Medien abgelehnt. Die Vorlage wurde mit einem Nein-Stimmen-Anteil von 57,3 Prozent verworfen.","A Maschwanden, les habitants sont défavorables au train de mesures en faveur des médias avec 57,3 pour cent de non.","Con il 57,3 percento di ""no"", i cittadini del comune di Maschwanden hanno respinto la legge sulle misure a favore dei media."
9,39.6,39.6,60.4,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","Nein zum Massnahmenpaket zugunsten der Medien in Mettmenstetten. Die Gemeinde hat die Vorlage mit 60,4 Prozent abgelehnt.","A Mettmenstetten, les habitants disent non à 60,4 pour cent à l'aide aux médias.","I cittadini di Mettmenstetten si sono espressi contro la legge sulle misure a favore dei media. Il testo è stato respinto con il 60,4 percento dei voti."
10,40.5,40.5,59.5,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","Nein zum Massnahmenpaket zugunsten der Medien in Obfelden. Die Gemeinde hat die Vorlage mit 59,5 Prozent abgelehnt.","A Obfelden, les habitants disent non à 59,5 pour cent à l'aide aux médias.","I cittadini di Obfelden si sono espressi contro la legge sulle misure a favore dei media. Il testo è stato respinto con il 59,5 percento dei voti."
